ContactSeq,ContactID,Contact,FirstName,LastName,AccountSeq,Job Title,Street,City,State or Province,Postal Code,Country,Latitude,Longitude,Phone
1010,deb0ea98-7248-4320-b0a0-5c2dff74abec,Hilton Lean,Hilton,Lean,1061,Nurse Practicioner,77717 Bellgrove Park,Sterling,VA,20167,United States,39.0853,-77.6452,571-469-2445
1011,533c3ad6-72bd-404b-82c9-faa44f295a21,Elianora Holdren,Elianora,Holdren,1123,Assistant Media Planner,60 Northridge Pass,Gainesville,FL,32605,United States,29.6785,-82.3679,352-860-3364
1012,c4be5c2c-8669-48bb-942c-8316c01b52ff,Adela Riolfi,Adela,Riolfi,1111,Human Resources Assistant I,96 Stephen Place,Birmingham,AL,35220,United States,33.5446,-86.9292,205-944-3828
1013,757a6e3c-55fd-42c2-952b-849c81d083f6,Davin Jarred,Davin,Jarred,1048,Sales Representative,9 Loeprich Crossing,Columbus,OH,43231,United States,40.081,-82.9383,614-290-7291
1014,029545ad-96fa-41c1-a464-5c84f34a9401,Annelise Bidgod,Annelise,Bidgod,1048,Sales Associate,8869 Larry Trail,Vancouver,WA,98664,United States,45.6231,-122.5767,360-234-5851
1015,8e7171a0-e8b3-44e3-bc95-e073c1bb681a,Mead Alyoshin,Mead,Alyoshin,1064,Financial Analyst,6 Sherman Pass,Savannah,GA,31422,United States,31.9714,-81.0716,912-878-2900
1016,f7ad46f5-84b7-4337-b209-dfb1c5d7d72c,Kitti Synder,Kitti,Synder,1124,Civil Engineer,966 Mendota Trail,Sioux Falls,SD,57105,United States,43.524,-96.7341,605-509-4848
1017,6ef64a7a-b867-4f0e-b13b-f335edaa904d,Lenee Lambotin,Lenee,Lambotin,1034,Pharmacist,4 Muir Circle,New York City,NY,10125,United States,40.7808,-73.9772,212-509-5271
1018,5af920c9-257a-4c78-90b1-0fc50e11cca6,Aimil Stovine,Aimil,Stovine,1073,Occupational Therapist,07 Glacier Hill Court,Savannah,GA,31410,United States,32.0175,-80.997,912-246-1288
1019,82459d32-fdb1-4d9f-a509-77a12e3b5f0f,Danell Chaikovski,Danell,Chaikovski,1125,Legal Assistant,72 Oneill Terrace,Jacksonville,FL,32236,United States,30.3449,-81.6831,904-929-8052
1020,2cd182d2-54d2-46e0-a789-00b0eecc48a7,Prudy Redmile,Prudy,Redmile,1092,Account Coordinator,84 Blackbird Hill,Lexington,KY,40546,United States,38.0283,-84.4715,859-656-9139
1021,98e17224-c72f-449d-bb61-d1b3be1eaa86,Aldo Line,Aldo,Line,1054,Research Associate,7415 Briar Crest Junction,Pasadena,CA,91186,United States,33.7866,-118.2987,626-180-1605
1022,948e6c2c-89bf-45bb-8ab3-266ca7c7c54d,Xerxes Abramcik,Xerxes,Abramcik,1088,Programmer Analyst III,7879 Glendale Crossing,San Francisco,CA,94159,United States,37.7848,-122.7278,415-430-9262
1023,8dfb8a10-703d-49b7-9339-6091b97dfd83,Lizzie Milbourne,Lizzie,Milbourne,1099,Electrical Engineer,1 Shasta Lane,Billings,MT,59105,United States,45.9497,-108.599,406-753-5071
1024,f672eca3-54df-43b2-97d2-fe9366adf255,Valentin Colby,Valentin,Colby,1123,Physical Therapy Assistant,683 Ronald Regan Trail,Carlsbad,CA,92013,United States,33.0169,-116.846,760-356-7981
1025,70518c0d-0b4a-4191-9d0b-000cddc34726,Ariella Spilsted,Ariella,Spilsted,1047,VP Accounting,1 Knutson Crossing,Santa Fe,NM,87505,United States,35.6219,-105.8688,505-531-2880
1026,14969c66-206b-4966-a28d-22fdd5ea471d,Filberto Eyers,Filberto,Eyers,1071,Professor,5 Katie Place,Boca Raton,FL,33499,United States,26.6459,-80.4303,561-833-3686
1027,b003cd12-7320-4615-94af-2d4666c00471,Odilia Halvosen,Odilia,Halvosen,1118,Senior Quality Engineer,112 Morrow Trail,Sacramento,CA,94245,United States,38.3774,-121.4444,916-257-0048
1028,59584717-efba-461b-936c-9ba2109655d8,Mickie Minister,Mickie,Minister,1101,Food Chemist,00931 Blaine Point,Tampa,FL,33620,United States,28.06,-82.4079,813-786-8053
1029,37ef509f-0d7f-4d45-b5a3-fe01810a5590,Paolina Duke,Paolina,Duke,1042,Assistant Media Planner,361 Mcbride Drive,Jamaica,NY,11499,United States,40.6514,-73.8708,212-860-7060
1030,4b3feff8-09dc-4766-96a3-863255c58d75,Nicolais Pusey,Nicolais,Pusey,1127,Compensation Analyst,28 Hanover Pass,New York City,NY,10009,United States,40.7262,-73.9796,917-129-9903
1031,e9b83904-a93e-42d0-b0ec-1548df3bcca3,Gilberta Srutton,Gilberta,Srutton,1058,Senior Quality Engineer,1163 Miller Alley,Oakland,CA,94627,United States,37.6802,-121.9215,510-923-5088
1032,1f8cfca0-c945-4c24-850b-5cbdde218c52,Tate Leuchars,Tate,Leuchars,1076,Account Coordinator,4217 Red Cloud Trail,Akron,OH,44315,United States,41.028,-81.4632,330-825-9345
1033,53446c8a-622e-46e3-bdf7-e8a534e29d20,Hayward Lightbourne,Hayward,Lightbourne,1088,Tax Accountant,9590 Loomis Place,Bronx,NY,10469,United States,40.8702,-73.8495,718-617-6650
1034,ec3152c3-5c75-44e7-b650-f49172b2c618,Nelia Alberti,Nelia,Alberti,1107,Business Systems Development Analyst,79 Jenna Plaza,Fargo,ND,58122,United States,46.9346,-97.2297,701-411-4775
1035,6c348af2-ce5f-425c-8207-bbdf3aac2a2c,Natividad Aiton,Natividad,Aiton,1047,Financial Analyst,36 Westport Street,Amarillo,TX,79105,United States,35.4015,-101.8951,806-106-8322
1036,f3186121-cf15-4d07-a7d6-1fc222fc3cdb,Ronalda Harbar,Ronalda,Harbar,1102,Business Systems Development Analyst,17 Dawn Street,Dayton,OH,45440,United States,39.6749,-84.1136,937-944-9980
1037,c513e319-5b20-4eb4-b3de-7eb21b0b6e3c,Korry Bims,Korry,Bims,1027,Analyst Programmer,12716 Bultman Park,Minneapolis,MN,55412,United States,45.0242,-93.302,651-439-0997
1038,fbd77648-0978-420d-b7f1-557bb0ddb05a,Ariel Bote,Ariel,Bote,1015,Recruiting Manager,41559 Katie Trail,San Francisco,CA,94177,United States,37.7848,-122.7278,415-608-8127
1039,addf89c1-19fa-4044-a5d3-f4fb2a1e5ac0,Vergil Broy,Vergil,Broy,1016,Social Worker,22145 Oxford Hill,Charlotte,NC,28230,United States,35.26,-80.8042,704-666-2414
1040,e8b7e756-07b4-44b2-b0fe-625a90591b0f,Robby Macquire,Robby,Macquire,1124,VP Quality Control,1 Independence Terrace,Pensacola,FL,32575,United States,30.6143,-87.2758,850-247-0326
1041,f8faeddf-a968-4167-893e-07247a4a2a1d,Shirley Kayne,Shirley,Kayne,1126,Marketing Manager,86269 Moland Road,Metairie,LA,70005,United States,30.0005,-90.1331,504-845-7799
1042,6fdfc3e1-22c3-47fe-b802-e9f18c7f2575,Hunter Klehyn,Hunter,Klehyn,1094,Geologist III,8 Lukken Drive,Houston,TX,77045,United States,29.6297,-95.4382,713-935-8348
1043,c1fa1319-3d05-404a-b25d-018af013e4b8,Dana Khomishin,Dana,Khomishin,1018,Senior Financial Analyst,25646 Butterfield Junction,San Bernardino,CA,92415,United States,34.84,-115.9671,909-741-0462
1044,c918dd74-48c0-4ff3-9995-f622952be0f1,Forrest Ebbett,Forrest,Ebbett,1086,Actuary,4 Golf Pass,Bonita Springs,FL,34135,United States,26.3771,-81.7334,941-949-1376
1045,0b3aca4a-94be-4953-a0a8-e6fc1005aeb8,Heidie Sannes,Heidie,Sannes,1104,Human Resources Manager,8999 Pearson Road,Sacramento,CA,94273,United States,38.3774,-121.4444,916-924-4089
1046,2f8eaba4-fea5-4dd1-a1e6-60c7d9edc188,Marta Goley,Marta,Goley,1100,Geological Engineer,68 Roxbury Street,Jersey City,NJ,7305,United States,40.702,-74.089,201-515-2498
1047,e63f5082-f1aa-4dcf-9a2f-52a4562dcced,Nixie Allder,Nixie,Allder,1001,Account Representative IV,364 Warner Road,Fresno,CA,93704,United States,36.7991,-119.8016,559-488-1946
1048,c07e40af-3d22-43cb-88ba-21477972b948,Tomas Tookill,Tomas,Tookill,1111,Technical Writer,24 Namekagon Avenue,Philadelphia,PA,19184,United States,40.0018,-75.1179,215-150-8761
1049,3e09acfb-853f-4826-ba7c-b975380803a3,Hubie Jambrozek,Hubie,Jambrozek,1122,Community Outreach Specialist,88 Westridge Circle,Chicago,IL,60686,United States,41.8756,-87.6378,312-927-2414
1050,76a5c666-6e0a-4935-8c8b-090ebbdb066c,Britta Paddefield,Britta,Paddefield,1062,Chief Design Engineer,8882 Kings Crossing,New York City,NY,10155,United States,40.7611,-73.968,917-180-5283
1051,d7ade4bd-fd6a-4f7b-9c3e-85d986c57a32,Lois Chellenham,Lois,Chellenham,1131,Environmental Tech,6121 Springs Court,Louisville,KY,40256,United States,38.189,-85.6768,502-599-5739
1052,1a9a7ab2-8a72-4450-8a6c-a3d1f7a58de0,Trish Gradley,Trish,Gradley,1023,Account Representative III,2503 Northport Alley,Sioux City,IA,51105,United States,42.5032,-96.3829,712-145-5324
1053,0032738c-7ea4-4fef-a33a-fd023ec02883,Carroll Poluzzi,Carroll,Poluzzi,1068,Information Systems Manager,12299 Kropf Park,Carol Stream,IL,60351,United States,41.9166,-88.1208,309-608-8346
1054,18e85e63-8de3-4fef-ab3f-f0ac91fdb14f,Pepita Knevett,Pepita,Knevett,1144,Technical Writer,6 Knutson Terrace,El Paso,TX,88541,United States,31.6948,-106.3,915-492-3553
1055,540b22cb-7238-4e22-8ed7-a9058b620de9,Teriann Renad,Teriann,Renad,1076,Computer Systems Analyst IV,5433 Surrey Avenue,Saint Louis,MO,63121,United States,38.7072,-90.3055,314-208-1796
1056,edf67e74-46c0-4a4b-815c-793fa11f3ad4,Jocelyn Dragon,Jocelyn,Dragon,1002,VP Accounting,741 Sachtjen Alley,Washington,DC,20551,United States,38.892,-77.0452,202-104-8622
1057,836aa9bc-c50a-4519-a136-555ad12d8c95,Flossie Wardlaw,Flossie,Wardlaw,1039,Programmer III,92 Valley Edge Street,Washington,DC,20535,United States,38.8941,-77.0251,202-923-1666
1058,54377118-a20c-432e-b588-16b0e88bb47b,Kimberly Dietzler,Kimberly,Dietzler,1052,Structural Engineer,592 Riverside Center,Santa Cruz,CA,95064,United States,36.9959,-122.0578,831-328-9203
1059,a1d62000-0207-439d-b3a0-5c6a47feb05c,Nichols Flaonier,Nichols,Flaonier,1128,Web Developer II,15 Evergreen Street,Jamaica,NY,11407,United States,40.6913,-73.8059,516-135-3161
1060,d766bdb9-29a2-4cff-a425-d0396b0ca1bf,Keri Carr,Keri,Carr,1112,Computer Systems Analyst I,9 Gulseth Hill,Cincinnati,OH,45296,United States,39.1668,-84.5382,513-528-0584
1061,e67a34c7-9be9-4531-8157-87e3d7ae922d,Yorker Vala,Yorker,Vala,1126,Human Resources Assistant IV,39 Troy Plaza,Cincinnati,OH,45208,United States,39.1361,-84.4355,513-945-9790
1062,3a358b66-19e7-4087-99da-9ac547c98ec3,Rhonda Prier,Rhonda,Prier,1114,Human Resources Assistant IV,16 Main Plaza,Erie,PA,16534,United States,42.1827,-80.0649,814-607-4143
1063,9cebc77d-f32c-48f1-a16a-833f85291fba,Arch Radloff,Arch,Radloff,1115,Account Representative I,91 Independence Point,Boston,MA,2119,United States,42.3231,-71.0846,978-969-5843
1064,02284f8b-83d5-4783-80db-fa2a78464e22,Esmeralda Thomassin,Esmeralda,Thomassin,1148,Budget/Accounting Analyst III,9 Havey Point,Albany,NY,12242,United States,42.6149,-73.9708,518-757-9108
1065,a948d256-fc2d-471d-92ab-d64d43f4f09e,Tedie Gianuzzi,Tedie,Gianuzzi,1041,Web Developer II,1 5th Pass,Kansas City,MO,64187,United States,39.035,-94.3567,816-493-1611
1066,f67f6a9a-f2fc-4008-9f31-5662fdcac700,Thorn Quirk,Thorn,Quirk,1026,Nurse Practicioner,816 Rieder Crossing,Philadelphia,PA,19136,United States,40.0422,-75.0244,215-974-3032
1067,c6883daa-6639-4e70-80c1-3bfbea575323,Levon Craighill,Levon,Craighill,1093,Account Representative II,7 Schiller Place,South Bend,IN,46699,United States,41.5968,-86.293,574-984-9388
1068,f6fae171-c65a-479f-bb79-079e02a94e7e,Daphne Callis,Daphne,Callis,1129,Biostatistician II,07338 Vera Park,Tampa,FL,33615,United States,28.0081,-82.5805,813-782-6788
1069,b5c31f18-816c-4a12-b734-dd65c0ab2d28,Gerry McAllen,Gerry,McAllen,1135,Social Worker,016 Bunting Hill,Salt Lake City,UT,84135,United States,40.6681,-111.9083,801-124-1169
1070,dfa988c5-26e0-4755-a41a-4043be495d23,Fredericka Werny,Fredericka,Werny,1052,Programmer I,76 Sullivan Point,Lincoln,NE,68531,United States,40.9008,-96.7201,402-252-5130
1071,12bbd485-bd55-4afe-bf81-4ac72a057292,Willard Elsegood,Willard,Elsegood,1138,Recruiter,6423 South Drive,Burbank,CA,91505,United States,34.169,-118.3442,626-355-5972
1072,191cf7cd-2399-4dbd-9208-5b935ac5dded,Bordie Fahy,Bordie,Fahy,1082,Community Outreach Specialist,55257 Marquette Crossing,Berkeley,CA,94712,United States,37.6802,-121.9215,510-710-8342
1073,0160de00-0176-47dc-b347-2c3487d4d634,Dollie Duker,Dollie,Duker,1030,Desktop Support Technician,1 Mockingbird Hill,Sarasota,FL,34276,United States,27.1675,-82.381,941-100-7054
1074,097a6da3-1ca3-4e7f-a259-10ae6539da16,Orly Maypes,Orly,Maypes,1122,Administrative Assistant II,253 Union Court,Austin,TX,78764,United States,30.4455,-97.6595,512-892-0084
1075,85384df3-fd87-4c24-ac42-687c4fb42997,Corny Prodrick,Corny,Prodrick,1023,Environmental Specialist,9005 David Street,Sacramento,CA,94237,United States,38.3774,-121.4444,916-857-2995
1076,96396f10-0766-4b95-b6c1-55d68f29fdae,Avie Greetland,Avie,Greetland,1131,Food Chemist,71 Butterfield Point,Huntington,WV,25775,United States,38.4134,-82.2774,304-778-0102
1077,cad7e483-8b0f-4203-a372-85b3e81787bb,Emyle Pendered,Emyle,Pendered,1133,Health Coach II,64186 Norway Maple Center,Shreveport,LA,71115,United States,32.3401,-93.6092,318-262-5084
1078,3c96027f-a77b-44fb-8e02-87bf69b16368,Betsy Hogben,Betsy,Hogben,1091,Recruiter,3796 2nd Avenue,Independence,MO,64054,United States,39.11,-94.4401,816-148-2910
1079,3ce2b7b6-36ff-4ab6-8f82-6f5e9a76f1eb,Carrie Eykelbosch,Carrie,Eykelbosch,1025,Senior Developer,1 Ridgeview Alley,New Orleans,LA,70116,United States,29.9686,-90.0646,504-981-3202
1080,61f1b404-d67d-4c3a-8142-dab672c18f99,Nico Shefton,Nico,Shefton,1051,Project Manager,323 Del Mar Circle,Lansing,MI,48912,United States,42.7371,-84.5244,517-472-1604
1081,075fe2ef-bff4-419b-9e66-7ef6fa5a1b48,Harmon Kezor,Harmon,Kezor,1071,Legal Assistant,92 Harper Park,Carlsbad,CA,92013,United States,33.0169,-116.846,760-289-4356
1082,df154e83-1333-4d4a-b5ef-14cea9e8c721,Heddi Le Port,Heddi,Le,1141,Geologist III,4 Heath Crossing,Meridian,MS,39305,United States,32.4401,-88.6783,601-327-5891
1083,95353ee5-4839-4c27-8c84-ee4ae8672887,Vittorio Gittens,Vittorio,Gittens,1100,Graphic Designer,44872 Carioca Alley,Philadelphia,PA,19093,United States,40.0018,-75.1179,215-546-9012
1084,9dbec8e6-9c09-4a2f-8927-59f6d781d2e6,Stanwood Benford,Stanwood,Benford,1117,Marketing Assistant,024 Spohn Hill,Terre Haute,IN,47812,United States,39.4336,-87.4101,812-858-3819
1085,218eb62b-8275-4494-84d3-952524ede553,Leia Patmore,Leia,Patmore,1072,Electrical Engineer,8777 Caliangt Lane,Erie,PA,16505,United States,42.1109,-80.1534,814-196-6026
1086,a34a66b7-d80c-4267-bbc2-6bb7178cac53,Vaclav Bythell,Vaclav,Bythell,1080,Structural Engineer,5765 8th Park,Minneapolis,MN,55423,United States,44.8756,-93.2553,218-322-4589
1087,a5a26d81-4d95-4602-b613-0fe431828bca,Frederique Gheorghescu,Frederique,Gheorghescu,1100,Office Assistant I,8185 Hintze Way,Des Moines,IA,50369,United States,41.6727,-93.5722,515-974-8139
1088,d67aeae4-99a2-4140-9a43-9a2ca94a9d3a,Brett Lakenton,Brett,Lakenton,1124,Accounting Assistant III,68285 Rusk Terrace,Austin,TX,78769,United States,30.3264,-97.7713,512-335-3763
1089,178b2e1e-5d0e-4c00-ac7b-478dfd5f6247,Lev Heinz,Lev,Heinz,1112,Systems Administrator I,0 Bartelt Park,Oxnard,CA,93034,United States,34.0324,-119.1343,805-728-3756
1090,a92e8e35-bea2-46d0-8621-d7ab3ef1f9a2,Stern Reavey,Stern,Reavey,1059,Software Consultant,0 Hayes Alley,Knoxville,TN,37931,United States,35.9924,-84.1201,865-147-5456
1091,64435612-e35a-4b95-9368-020c12525844,Lamar Luc,Lamar,Luc,1108,Mechanical Systems Engineer,06 Gale Road,Detroit,MI,48211,United States,42.3809,-83.0409,734-881-8448
1092,af2b227d-93d5-498f-8134-681987500f3a,Tommi Varley,Tommi,Varley,1091,Senior Quality Engineer,774 Johnson Hill,Portland,OR,97211,United States,45.5653,-122.6448,503-162-6061
1093,8f1ab35e-b1f3-445b-b9c3-9a7ed2ec818f,Jaimie Formby,Jaimie,Formby,1130,Speech Pathologist,37 Aberg Crossing,Brooksville,FL,34605,United States,28.5059,-82.4226,352-696-1200
1094,05863235-9726-4050-b67e-0e8c1556f385,Griz Kybert,Griz,Kybert,1126,Professor,59 Jana Place,Toledo,OH,43699,United States,41.6538,-83.6589,419-886-2654
1095,47bc059f-7b88-4b91-a884-f4ab6ca9ab02,Belle Lamborne,Belle,Lamborne,1073,Clinical Specialist,474 Gateway Point,Colorado Springs,CO,80935,United States,38.8247,-104.562,719-769-9595
1096,c35b113d-280a-4289-8382-0a7c85cca343,Pauletta McGettigan,Pauletta,McGettigan,1000,Teacher,789 Huxley Court,Phoenix,AZ,85067,United States,33.2765,-112.1872,602-762-4462
1097,78df3907-23aa-438c-aa2a-7ecbf37bbf09,Stevy Wymer,Stevy,Wymer,1126,Operator,2534 Laurel Hill,San Diego,CA,92165,United States,33.0169,-116.846,619-258-7169
1098,1ebaeb76-5d95-4e11-aa49-219178a3c153,Radcliffe Woodford,Radcliffe,Woodford,1109,VP Marketing,32663 Dapin Street,South Bend,IN,46634,United States,41.5968,-86.293,574-334-2127
1099,30a7ddc6-1c83-4f04-9097-636b901a65c0,Ronna McShane,Ronna,McShane,1126,Account Executive,6416 Myrtle Drive,Chesapeake,VA,23324,United States,36.8056,-76.2666,757-759-7025
1100,0ebc0925-e446-4c4b-8aa5-3dfdd102bd55,Arlee Kennewell,Arlee,Kennewell,1041,Budget/Accounting Analyst III,06604 Corry Drive,Toledo,OH,43615,United States,41.6492,-83.6706,419-781-0929
1101,09be8d93-bcd5-46fa-a4b5-e2274d4e5e3c,Kathleen Yeskov,Kathleen,Yeskov,1102,Senior Sales Associate,4032 Westport Plaza,Warren,MI,48092,United States,42.5125,-83.0643,586-694-1272
1102,0b744f3c-9bf5-4204-b41c-c3cce55e2084,Virgil Elsmore,Virgil,Elsmore,1148,Administrative Assistant I,125 Warbler Circle,Lake Charles,LA,70616,United States,30.2642,-93.3265,337-179-7068
1103,680fa4ae-cca9-46d8-bad6-540e4784922f,Ernestine Attewill,Ernestine,Attewill,1024,Teacher,8 Lunder Circle,Saint Louis,MO,63136,United States,38.7196,-90.27,314-463-0855
1104,57018685-d5a0-4bf2-885e-5819a891dd56,Albertina Whyman,Albertina,Whyman,1037,Occupational Therapist,964 Northview Drive,Littleton,CO,80127,United States,39.592,-105.1328,303-606-2265
1105,40cd81ac-ba67-4f16-8c9f-80b925517695,Eliot Livingstone,Eliot,Livingstone,1023,Human Resources Assistant IV,2 Emmet Alley,Houston,TX,77085,United States,29.6218,-95.4819,281-289-9054
1106,b260300a-522e-4105-a901-3a4c87fb13c7,Robers Tillman,Robers,Tillman,1007,Cost Accountant,55 Kim Court,San Antonio,TX,78255,United States,29.6701,-98.6873,830-576-1745
1107,210b6ddd-7ed0-49df-be3b-af59bb9cde32,Florencia Boyington,Florencia,Boyington,1091,Electrical Engineer,3 Northview Parkway,Hamilton,OH,45020,United States,39.441,-84.5757,937-652-6362
1108,a98d84d8-18c7-42d4-a031-4425ea20a5b4,Violette Birtwistle,Violette,Birtwistle,1002,Librarian,922 Springs Place,Bakersfield,CA,93386,United States,35.2944,-118.9052,661-899-1012
1109,ae68f223-8dfb-468b-99e0-a4e2419471e3,Jasmin Stokey,Jasmin,Stokey,1136,GIS Technical Architect,3 Gale Court,Jacksonville,FL,32236,United States,30.3449,-81.6831,904-924-9475
1110,9c054bb1-c6f3-4b64-aa9d-760c76a6e0cb,Skippy Losano,Skippy,Losano,1039,GIS Technical Architect,199 Monica Drive,Montgomery,AL,36119,United States,32.2334,-86.2085,334-119-5928
1111,c5d23940-0e16-4772-be50-913d3bed0812,Morlee Renon,Morlee,Renon,1126,Research Nurse,1448 Ridgeway Plaza,Spring,TX,77386,United States,30.1288,-95.4239,281-350-9233
1112,c2dc63e8-38c9-4bcc-978a-1724c0a4f939,Joete Downe,Joete,Downe,1122,Software Test Engineer II,0248 Dunning Plaza,San Jose,CA,95155,United States,37.31,-121.9011,408-211-0281
1113,259ff56b-776c-44a3-bd0a-5e1af0458e72,Ricoriki Ishak,Ricoriki,Ishak,1125,Research Associate,726 Pearson Alley,Irvine,CA,92619,United States,33.6706,-117.7645,949-396-3554
1114,e17d1b6d-a1e5-46a9-b783-c2a29f4f45f3,Travis Chifney,Travis,Chifney,1138,Staff Scientist,71 Kropf Junction,Minneapolis,MN,55480,United States,45.0159,-93.4719,612-828-8452
1115,5f21d1f6-40ca-4174-baa2-9e0320917e5b,Corrie Brookwell,Corrie,Brookwell,1022,Actuary,9193 Almo Court,Dallas,TX,75379,United States,32.7673,-96.7776,214-570-1612
1116,0062632f-c0f4-4e89-bc16-9af5565a7fc8,Clarance Peart,Clarance,Peart,1050,Graphic Designer,67561 Glacier Hill Drive,Brooklyn,NY,11231,United States,40.6794,-74.0014,212-188-7955
1117,18c859e9-46d6-402c-9288-43ce0aab4734,Andre Revett,Andre,Revett,1075,Research Assistant I,89 Hermina Way,Los Angeles,CA,90071,United States,34.0529,-118.2549,626-683-4711
1118,49479814-7114-4556-b92a-ffa6581b926e,Weider Eliaz,Weider,Eliaz,1092,Assistant Manager,9930 Eagle Crest Junction,Pompano Beach,FL,33064,United States,26.2785,-80.1157,305-618-0415
1119,25d41ec3-9014-4778-a137-9c80a0705d3a,Malissia Bigmore,Malissia,Bigmore,1098,Health Coach III,2947 Wayridge Terrace,Greensboro,NC,27404,United States,36.0807,-80.0244,336-393-2359
1120,4f7e5423-c730-4af0-89a2-e134b7a4a56f,Leroi Wozencraft,Leroi,Wozencraft,1141,Structural Analysis Engineer,616 Gina Plaza,Detroit,MI,48211,United States,42.3809,-83.0409,734-661-8514
1121,75e73c2b-8263-4869-a644-c17520aa2467,Gayla Maytom,Gayla,Maytom,1024,Statistician II,41 Anzinger Park,San Antonio,TX,78291,United States,29.4375,-98.4616,210-749-1482
1122,f7404ff0-53b3-41b1-a64e-0e6c8e12b264,Blanca Mordaunt,Blanca,Mordaunt,1124,Chief Design Engineer,654 Clove Terrace,Memphis,TN,38104,United States,35.1334,-90.0046,615-879-8741
1123,cf6fccfe-3795-4bce-9310-27f7f621131d,Cecilla Petrowsky,Cecilla,Petrowsky,1101,Marketing Manager,289 Manitowish Circle,Providence,RI,2905,United States,41.7845,-71.3959,401-637-9673
1124,d337a699-5666-46c6-aaf9-5bc28d0d4db6,Caritta Minget,Caritta,Minget,1087,Junior Executive,54 Division Hill,Oklahoma City,OK,73104,United States,35.4794,-97.5017,405-756-5538
1125,3cb2594f-22d2-45d9-9cda-b85b0d2956c1,Tabbie Bullan,Tabbie,Bullan,1034,Systems Administrator II,451 Katie Road,Orlando,FL,32835,United States,28.5289,-81.4787,407-673-3420
1126,478343dd-a8ef-4889-b3ef-e1b3e0103b63,Caren Ronaldson,Caren,Ronaldson,1002,Accounting Assistant II,81 Hovde Plaza,Toledo,OH,43605,United States,41.6525,-83.5085,419-569-0215
1127,eb66a142-897b-445d-9d4b-2aedf643f8d8,Kevin Meldrum,Kevin,Meldrum,1014,Compensation Analyst,930 Summerview Avenue,Colorado Springs,CO,80935,United States,38.8247,-104.562,719-977-3252
1128,90b9c93b-5843-42ff-af03-68eafc9e7588,Sybilla Fuzzens,Sybilla,Fuzzens,1135,Nuclear Power Engineer,9 Towne Court,Washington,DC,20041,United States,38.8933,-77.0146,703-186-6626
1129,f0cccc1f-a95d-4c88-83c2-3c44293c2431,Rodrigo Wiper,Rodrigo,Wiper,1091,Executive Secretary,28 Ridge Oak Lane,Long Beach,CA,90847,United States,33.7866,-118.2987,562-491-0523
1130,22e01790-35f5-4cd0-bb56-6dde36c33ac4,Wilden Demonge,Wilden,Demonge,1050,Civil Engineer,2 Fordem Street,Nashville,TN,37210,United States,36.1379,-86.741,615-902-3360
1131,6ad3169d-8c7d-46fb-925b-e1b6a1202f28,Roscoe Simonato,Roscoe,Simonato,1084,Director of Sales,237 Declaration Road,Birmingham,AL,35231,United States,33.5446,-86.9292,205-532-0220
1132,4d49e37c-dc48-4ec0-ac27-38c3300a6510,Archy Twiggins,Archy,Twiggins,1113,Research Associate,9084 Farwell Junction,Harrisburg,PA,17126,United States,40.2618,-76.88,717-919-6417
